Rider,General Classification,TT,Sprint,Climb,Age,Weight,Height,Country
Giuseppe Guerini,2443,746,950,862,35,65,178,Italy
Giuseppe Martano,1295,782,2469,212,24,74,170,Italy
Graziano Battistini,2121,592,2040,848,24,,,Italy
Greg Lemond,6289,5860,3714,2676,28,67,178,US
Greg Van Avermaet,3795,577,4840,3403,30,74,181,Belgium
Guido Bontempi,832,1879,5274,213,26,,,Italy
Guido Carlesi,2210,1366,3926,544,25,,,Italy
Guido Reybrouck,823,9,6294,634,26,,,Belgium
Gustaaf Danneels,140,220,1413,80,24,70,172,Belgium
Gustaaf Deloor,1410,131,1882,218,24,79,179,Belgium
Gustaaf Van Slembrouck,188,34,1464,366,25,,,Belgium
Gustave Garrigou,2970,0,1913,3098,26,,193,France
Guy Ignolin,647,182,1201,362,27,,,France
Guy Lapébie,610,280,1094,278,33,,,France
Hector Heusghem,1252,0,1137,958,31,,,Belgium
Hector Martin,476,0,1845,408,29,,,Belgium
Heinrich Haussler,840,276,3836,170,22,74,181,Australia
Henk Faanhof,162,1,909,6,32,,,Netherlands
Henk Lubberding,3386,1727,1801,1068,27,,,Netherlands
Henk Nijdam,312,446,1508,134,31,75,172,Netherlands
Henk Poppe,1,12,228,0,22,,,Netherlands
Hennie Kuiper,5469,3556,3928,2508,29,69,172,Netherlands
Henri Manders,4226,90,1130,79,25,,,Netherlands
Henri Massal,194,1,267,66,26,,,France
Henri Pelissier,1152,50,2694,1320,25,72,173,France
Henri Pélissier,1152,50,1694,1320,31,72,173,France
Henri Puppo,175,216,590,0,24,70,166,France
Henri Van Lerberghe,54,0,506,15,32,,,Belgium
Henry Anglade,3587,2250,2228,1052,26,,,France
Herman Frison,679,291,2864,72,26,,,Belgium
Herman Van Springel,4858,4274,8256,3484,28,,,Belgium
Hippolyte Aucouturier,380,0,809,835,29,79,173,France
Honoré Barthélemy,940,0,1751,839,30,,,France
Hubert Mathis,552,101,460,72,24,,,France
Hugo Houle,930,664,250,426,32,72,183,Canada
Hugo Koblet,4617,2584,5259,617,26,,,Switzerland
Huub Zilverberg,1055,169,1574,120,23,,,Netherlands
Iban Mayo,2515,1188,872,1350,26,65,176,Spain
Ilnur Zakarin,3286,1162,174,2858,27,67,187,Russia
Imerio Massignan,2503,433,1992,1038,24,,,Italy
Ion Izagirre,5371,3014,172,4270,27,60,173,Spain
Italo Zilioli,4033,986,5903,996,29,,,Italy
Ivan Basso,5190,1985,1351,4922,27,70,182,Italy
Jaan Kirsipuu,741,887,10269,47,31,80,179,Estonia
Jacky Durand,883,1913,1927,151,21,76,186,France
Jacques Anquetil,9854,9332,5892,2518,30,70,176,France
Jacques Esclassan,675,52,5568,700,30,,,France
Jacques Michaud,759,272,548,324,32,,,France
Jacques Pras,18,0,134,0,24,,,France
Jacques Vivier,157,20,460,24,32,,,France
Jakob Piil,656,248,1556,232,30,65,182,Denmark
Jan Bakelants,2651,314,929,1757,27,67,177,Belgium
Jan Janssen,4546,2732,7310,3246,28,76,174,Netherlands
Jan Krekels,359,153,1234,253,24,,,Netherlands
